area_of_application,category,date_issue,date_of_analysis,description,document_type,filename,full_name,keytopics,keywords,language,median_content_length,number,pages_analyzed,percent_clause_detection,percent_missing_clauses,revision,source,status,total_pages
,Право гражданское,2023-07-24,2025-08-26T03:35:01.543556+00:00,"Данный документ представляет собой первую часть Гражданского кодекса Российской Федерации с учётом изменений на 24 июля 2023 года. Он регулирует основные положения гражданского права, включая права и обязанности граждан и юридических лиц.",Федеральный Закон,Гражданский кодекс РФ Часть 1 - Статьи 1 - 453 - с изм. на 24.07.23.pdf,Гражданский Кодекс Российской Федерации Часть Первая (с изменениями на 24 июля 2023 года),"['основы гражданского права', 'права и обязанности', 'регулирование гражданских отношений']","['Гражданский кодекс', 'Федеральный закон', 'изменения', 'гражданское право']",русский,1242,18-ФЗ,5,79.4,0.0,,Гражданский кодекс РФ Часть 1 - Статьи 1 - 453 - с изм. на 24.07.23.pdf,Действующий,267
,Гражданское право,2023-07-24,2025-08-26T03:35:04.488432+00:00,"Часть вторая Гражданского Кодекса Российской Федерации с изменениями на 24 июля 2023 года. Документ включает в себя свод правовых норм, регулирующих гражданские правоотношения, с внесенными актами Федеральных законов, изменяющими положения кодекса.",Кодекс,Гражданский кодекс РФ Часть 2 - Статьи 454 - 1109 - с изм. на 24.07.23.pdf,Гражданский Кодекс Российской Федерации. Часть Вторая,"['регулирование гражданских правоотношений', 'правовые нормы', 'изменения законодательства']","['Гражданский кодекс', 'изменения', 'Федеральный закон', 'гражданское право']",русский,859,Гражданский Кодекс Российской Федерации. Часть Вторая,5,92.6,0.0,,Гражданский кодекс РФ Часть 2 - Статьи 454 - 1109 - с изм. на 24.07.23.pdf,Действующий,217
Регулирование гражданско-правовых отношений в Российской Федерации,Гражданское право,2023-08-04,2025-08-26T03:35:07.774381+00:00,"Часть третья Гражданского кодекса Российской Федерации с изменениями на 24 июля 2023 года, действующая с 4 августа 2023 года. Документ содержит федеральные законы, внесшие изменения в кодекс, регулирующие различные аспекты гражданского права.",Кодекс,Гражданский кодекс РФ Часть 3 - Статьи 1110 - 1224 - с изм. на 24.07.23.pdf,Гражданский кодекс Российской Федерации Часть третья,"['регулирование гражданско-правовых отношений', 'внесение изменений в законодательство']","['Гражданский кодекс', 'гражданское право', 'федеральные законы', 'изменения', 'регулирование']",Русский,1064,230-ФЗ,5,83.8,42.9,с изменениями на 24 июля 2023 года,Гражданский кодекс РФ Часть 3 - Статьи 1110 - 1224 - с изм. на 24.07.23.pdf,Действующий,56
"Регулирование гражданских правоотношений, включая положения о патентах на изобретения и иных имущественных правах",Гражданское право,2023-06-13,2025-08-26T03:35:11.839268+00:00,"Данный кодекс регулирует гражданское право в Российской Федерации, включая изменения и дополнения, вступившие в силу на 13 июня 2023 года. Содержит положения о патентах на изобретения и их продлении, а также включает все изменения, начиная с принятия в 2006 году и до последней редакции 2023 года.",Кодекс,Гражданский кодекс РФ Часть 4 - Статьи 1225 - 1551 - с изм. на 13.06.23.pdf,Гражданский кодекс Российской Федерации Часть четвертая,"['Патенты', 'Гражданское право', 'Законодательство РФ']","['Гражданский кодекс', 'патенты на изобретения', 'гражданское право', 'Федеральный закон', 'изменения']",русский,1339,230-ФЗ,5,79.9,31.6,Изменения на 13 июня 2023 года,Гражданский кодекс РФ Часть 4 - Статьи 1225 - 1551 - с изм. на 13.06.23.pdf,Действующий,183
"Регулирование жилищных отношений, обеспечение прав граждан на жилище, защита жилищных прав, управление жилым фондом",Жилищное законодательство,2021-12-30,2025-08-26T03:35:16.515633+00:00,"Данный Федеральный закон регулирует основные положения жилищного законодательства в Российской Федерации, устанавливая права граждан на жилище, условия для осуществления этих прав, защиту жилищных прав и управление жилым фондом. Включает многочисленные редакции и изменения, актуализированные на 30 декабря 2021 года.",Федеральный Закон,Жилищный кодекс Российской Федерации.pdf,Жилищный кодекс Российской Федерации,"['основные положения', 'жилищные отношения', 'права граждан', 'защита жилищных прав', 'управление жилым фондом']","['Жилищный кодекс', 'жилищное законодательство', 'права на жилище', 'жилищные права', 'жилой фонд', 'защита жилищных прав']",русский,1487,2004,5,54.2,0.0,,Жилищный кодекс Российской Федерации.pdf,Действующий,373
Применение положений свода правил СП 7.13130.2013,Пожарная безопасность,2024-10-28,2025-08-26T03:35:20.439180+00:00,"Документ подготовлен Министерством Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий и содержит разъяснения и пояснения по применению отдельных требований пожарной безопасности свода правил СП 7.13130.2013 Отопление, вентиляция и кондиционирование.",Инструкции,Письмо МЧС №43-6858-19 от 28.10.2024 По вопросу применения отдельных положений свода правил СП 7.13130.2013.pdf,"Информационное письмо МЧС России от 28 октября 2024 года № 43-6858-19 по вопросу применения отдельных положений свода правил СП 7.13130.2013 Отопление, вентиляция и кондиционирование. Требования пожарной безопасности","['применение пожарных требований', 'огнестойкость', 'системы вентиляции', 'эвакуационные пути']","['СП 7.13130.2013', 'пожарная безопасность', 'противопожарные клапаны', 'незадымляемые лестничные клетки', 'тамбур-шлюз', 'Технический регламент', 'ГОСТ 34442-2018']",русский,3957,43-6858-19,3,0.0,0.0,,Письмо МЧС №43-6858-19 от 28.10.2024 По вопросу применения отдельных положений свода правил СП 7.13130.2013.pdf,Действующий,3
Проектирование оснований зданий и сооружений,Основания зданий,1986-01-01,2025-08-26T03:35:25.354158+00:00,"Данное Пособие содержит рекомендации и детализирует основные положения СНиП 2.02.01-83 по проектированию и расчету оснований зданий и сооружений, учитывая особенности проектирования в особых условиях, таких как сейсмические районы и подрабатываемые территории. Материал предназначен для инженерно-технических работников проектных, изыскательских и строительных организаций.",Пособие,Пособие 2.02.01-83_ По проектированию оснований зданий и сооружений.pdf,Пособие по проектированию оснований зданий и сооружений (к СНиП 2.02.01-83),"['расчет оснований по деформациям', 'расчет несущей способности', 'глубина заложения фундаментов', 'методы определения характеристик грунтов', 'проектирование оснований зданий и сооружений']","['основания зданий', 'проектирование', 'расчет оснований', 'сейсмические районы', 'подрабатываемые территории', 'грунты', 'подземные воды']",Русский,602,2.02.01-83,5,83.0,32.1,Введен впервые,Пособие 2.02.01-83_ По проектированию оснований зданий и сооружений.pdf,Действующий,414
"Медицинские организации государственной системы здравоохранения города Москвы, оказывающие первичную медико-санитарную помощь",Здравоохранение,2022-08-08,2025-08-26T03:35:30.049989+00:00,"Данный приказ утверждает Отраслевой стандарт технического оснащения медицинских организаций города Москвы, оказывающих первичную медико-санитарную помощь, в части обеспечения использования сервисов Единой медицинской информационно-аналитической системы города Москвы (ЕМИАС). Документ содержит требования по оснащению амбулаторных и стационарных подразделений для внедрения и использования сервисов ЕМИАС.",Приказ Минстроя,ПП Москвы 1034-64-16-722-16 от 08.08.2022 Отраслевой стандарт оснащения медицинских организаций Москвы обеспечения сервисов ЕМИАС.pdf,"Приказ об утверждении Отраслевого стандарта оснащения медицинских организаций государственной системы здравоохранения города Москвы, оказывающих первичную медико-санитарную помощь, в части обеспечения использования сервисов ЕМИАС","['техническое оснащение медицинских организаций', 'применение сервисов ЕМИАС', 'стандартизация медицинского оборудования', 'первичная медико-санитарная помощь']","['Отраслевой стандарт', 'оснащение', 'медицинские организации', 'здравоохранение', 'первичная медико-санитарная помощь', 'ЕМИАС', 'техническое оснащение']",Русский,430,1034/64-16-722/16,5,84.7,0.0,Изменения на 8 августа 2022 года,ПП Москвы 1034-64-16-722-16 от 08.08.2022 Отраслевой стандарт оснащения медицинских организаций Москвы обеспечения сервисов ЕМИАС.pdf,Действующий,16
Стандартизация технического оснащения государственных образовательных организаций города Москвы для обеспечения доступа к сервисам Московской электронной школы,Образование,2024-02-28,2025-08-26T03:35:35.064571+00:00,"Приказ вносит изменения в ранее изданный приказ об утверждении отраслевого стандарта оснащения образовательных организаций города Москвы техническими средствами, программным обеспечением и оборудованием для обеспечения доступа к образовательным сервисам Московской электронной школы. Документ содержит изменения, дополнения и рекомендации по оснащению помещений образовательных организаций.",Приказ Правительства Москвы,ПП Москвы 1086-24-64-16-641-24 jn 07.11.2024 Приказ ДОНМ и ДИТ Изменения в Отраслевой стандарт МЭШ.pdf,Приказ Департамента образования и науки города Москвы и Департамента информационных технологий города Москвы от 28 февраля 2024 г. №177/64-16-77/24,"['стандарты оснащения', 'образовательные организации', 'техническое обеспечение', 'информационные технологии', 'регулирование']","['приказ', 'Департамент образования Москвы', 'Департамент информационных технологий Москвы', 'стандартизация', 'техническое оснащение', 'образовательные организации', 'Московская электронная школа', 'обновление приказа', 'образовательное оборудование', 'технические средства']",русский,2153,177/64-16-77/24,5,27.3,57.1,в редакции приказа от 28 февраля 2024 г.,ПП Москвы 1086-24-64-16-641-24 jn 07.11.2024 Приказ ДОНМ и ДИТ Изменения в Отраслевой стандарт МЭШ.pdf,Действующий,11
"город Москвы, нормативы градостроительного проектирования в области образования",Градостроительство,2024-12-24,2025-08-26T03:35:38.799986+00:00,"Документ утверждает нормативы градостроительного проектирования города Москвы в области образования. Содержит изменения и дополнения, внесенные постановлениями Правительства Москвы. Включает нормы для проектирования образовательных учреждений города Москвы и регулирует порядок применения данных нормативов.",Постановление Правительства Москвы,ПП Москвы 2151-П от 21.12.2021 Об утверждении нормативов градостроительного проектирования города Москвы в области образования.pdf,Постановление Правительства Москвы от 21 декабря 2021 года N 2151-ПП Об утверждении нормативов градостроительного проектирования города Москвы в области образования (с изменениями на 24 декабря 2024 года),"['утверждение нормативов', 'изменения и дополнения', 'градостроительное проектирование', 'образовательные учреждения']","['нормативы градостроительного проектирования', 'образование', 'Москва', 'проектирование', 'городские нормы']",Русский,214,2151-ПП,5,96.2,6.1,с изменениями на 24 декабря 2024 года,ПП Москвы 2151-П от 21.12.2021 Об утверждении нормативов градостроительного проектирования города Москвы в области образования.pdf,Действующий,15
