area_of_application,category,date_issue,date_of_analysis,description,document_type,filename,full_name,keytopics,keywords,language,median_content_length,number,pages_analyzed,percent_clause_detection,percent_missing_clauses,revision,source,status,total_pages
Правила устройства электроустановок распространяются на вновь сооружаемые и реконструируемые электроустановки постоянного и переменного тока напряжением до 750 кВ,Электроустановки,,2025-08-29T03:19:20.461069+00:00,"Документ содержит общие правила и требования к устройству электроустановок, включая определения и область применения. Издание утверждено приказом Министерства энергетики Российской Федерации 8 июля 2002 года и применяется с 1 января 2003 года.",ПУЭ,Правила устройства электроустановок (ПУЭ). Глава 1.1 Общая часть (Издание седьмое).pdf,Правила устройства электроустановок. Глава 1.1 Общая часть (Издание седьмое),"['устройство электроустановок', 'эксплуатация и безопасность', 'планово-предупредительные испытания', 'ремонт электроустановок']","['Правила устройства электроустановок', 'ПУЭ', 'электроустановки', 'напряжение до 750 кВ', 'эксплуатация', 'безопасность']",русский,545,-,5,62.5,0.0,,Правила устройства электроустановок (ПУЭ). Глава 1.1 Общая часть (Издание седьмое).pdf,Действующий,7
"Применяется ко всем системам электроснабжения, включая подземные, тяговые и специальные установки при соблюдении специальных правил",Электроснабжение,,2025-08-29T03:19:24.484035+00:00,"Документ содержит Правила устройства электроустановок седьмого издания, глава 1.2, регулирующие электроснабжение и электрические сети. В документе изложены определения и основные требования к системам электроснабжения, их структуре и функционированию.",ПУЭ,Правила устройства электроустановок (ПУЭ). Глава 1.2 Электроснабжение и электрические сети.pdf,Правила устройства электроустановок. Глава 1.2 Электроснабжение и электрические сети (Издание седьмое),"['определения', 'системы электроснабжения', 'электроэнергетическая система', 'централизованное электроснабжение', 'электрическая сеть']","['Правила устройства электроустановок', 'ПУЭ', 'электроснабжение', 'электросети', 'энергосистема', 'электроустановки']",Русский,308,-,5,71.4,0.0,,Правила устройства электроустановок (ПУЭ). Глава 1.2 Электроснабжение и электрические сети.pdf,Действующий,5
"Выбор сечений электрических проводников (неизолированные и изолированные провода, кабели и шины) по нагреву, экономической плотности тока и по условиям короны",Электротехника,,2025-08-29T03:19:29.162433+00:00,"Данный документ определяет правила выбора сечений электрических проводников с учетом допустимого нагрева, экономической плотности тока и условий возникновения короны. В документе рассмотрены нормы и методы проверки проводников для различных режимов работы и типов изоляции.",ПУЭ,Правила устройства электроустановок (ПУЭ). Глава 1.3. Выбор проводников по нагреву.pdf,"Правила устройства электроустановок. Глава 1.3 Выбор проводников по нагреву, экономической плотности тока и по условиям короны (издание шестое)","['выбор сечений проводников', 'нагрев проводников', 'кратковременные режимы работы', 'перегрузки кабелей', 'изоляция кабелей']","['электрические проводники', 'нагрев', 'экономическая плотность тока', 'условия короны', 'сечение проводников', 'кабели', 'изоляция']",Русский,576,-,5,85.2,0.0,,Правила устройства электроустановок (ПУЭ). Глава 1.3. Выбор проводников по нагреву.pdf,Действующий,22
"Выбор и применение электрических аппаратов и проводников в электроустановках переменного тока частотой 50 Гц, напряжением до и выше 1 кВ",Электроустановки,,2025-08-29T03:19:34.498479+00:00,"Данная глава Правил устройства электроустановок распространяется на выбор и применение электрических аппаратов и проводников по условиям короткого замыкания (КЗ) в электроустановках переменного тока частотой 50 Гц с напряжением до и выше 1 кВ. Описываются требования к электродинамической и термической стойкости, расчетные схемы для определения токов КЗ, а также исключения и условия неприменимости проверок по режимам КЗ.",ПУЭ,Правила устройства электроустановок (ПУЭ). Глава 1.4. Выбор электрических аппаратов и проводников.pdf,Правила устройства электроустановок. Глава 1.4. Выбор электрических аппаратов и проводников по условиям короткого замыкания (Издание шестое),"['выбор электрических аппаратов', 'устойчивость при коротком замыкании', 'расчет токов короткого замыкания', 'исключения по проверке КЗ']","['короткое замыкание', 'электрические аппараты', 'проводники', 'электроустановки', 'ток КЗ', 'электродинамическая стойкость', 'термическая стойкость']",русский,754,-,5,80.0,75.0,,Правила устройства электроустановок (ПУЭ). Глава 1.4. Выбор электрических аппаратов и проводников.pdf,Действующий,5
"Требования к учету электроэнергии в электроустановках, жилых и общественных зданиях",Электроустановки,,2025-08-29T03:19:38.500163+00:00,"Документ содержит требования к учету электроэнергии в электроустановках, включая требования к расчетному и техническому учету, установке счетчиков, а также особенности учета активной и реактивной электроэнергии в различных условиях.",ПУЭ,Правила устройства электроустановок (ПУЭ). Глава 1.5. Учет электроэнергии (Издание шестое).pdf,Правила устройства электроустановок (ПУЭ). Глава 1.5. Учет электроэнергии (Издание шестое),"['учет электроэнергии', 'расчетные счетчики', 'технический учет', 'установка счетчиков', 'баланс электроэнергии']","['учет электроэнергии', 'расчетный учет', 'технический учет', 'счетчики электроэнергии', 'активная электроэнергия', 'реактивная электроэнергия', 'электроустановки']",Русский,799,-,5,58.8,0.0,,Правила устройства электроустановок (ПУЭ). Глава 1.5. Учет электроэнергии (Издание шестое).pdf,Не определено,7
"Измерения электрических величин, осуществляемые при помощи стационарных средств в электроустановках",Измерения электрических величин,,2025-08-29T03:19:42.794452+00:00,"Данный документ регламентирует общие требования к измерениям электрических величин в электроустановках, включая требования к классам точности измерительных приборов, условия установки приборов, особенности измерений тока и напряжения в различных цепях и системах.",ПУЭ,Правила устройства электроустановок (ПУЭ). Глава 1.6. Измерения электрических величин.pdf,Правила устройства электроустановок. Глава 1.6. Измерения электрических величин (Издание шестое),"['точность измерений', 'установка измерительных приборов', 'контроль технологического процесса', 'измерения в электроустановках']","['измерения электрических величин', 'стационарные средства', 'классы точности', 'измерительные приборы', 'установка приборов', 'измерение тока', 'измерение напряжения']",Русский,544,-,5,76.5,0.0,,Правила устройства электроустановок (ПУЭ). Глава 1.6. Измерения электрических величин.pdf,Не определено,6
Заземление и защитные меры электробезопасности в электроустановках переменного и постоянного тока напряжением до 1 кВ и выше,Электроустановки,,2025-08-29T03:19:47.649147+00:00,"Настоящая глава Правил устройства электроустановок распространяется на все электроустановки переменного и постоянного тока напряжением до 1 кВ и выше, устанавливая общие требования к их заземлению и защите от поражения электрическим током как в нормальном режиме работы, так и при повреждении изоляции.",ПУЭ,Правила устройства электроустановок (ПУЭ). Глава 1.7 Заземление и защитные меры электробезопасности.pdf,Правила устройства электроустановок. Глава 1.7 Заземление и защитные меры электробезопасности (Издание седьмое),"['системы заземления', 'электроустановки переменного и постоянного тока', 'защита людей и животных', 'нормы электробезопасности']","['заземление', 'защитные меры электробезопасности', 'электроустановки', 'электробезопасность', 'напряжение до 1 кВ']",Русский,2007,-,5,39.3,58.8,,Правила устройства электроустановок (ПУЭ). Глава 1.7 Заземление и защитные меры электробезопасности.pdf,Действующий,39
Приемо-сдаточные испытания электрооборудования до 500 кВ,Электрооборудование,,2025-08-29T03:19:51.237923+00:00,"Документ содержит нормы приемо-сдаточных испытаний электрооборудования до 500 кВ, вводимого в эксплуатацию. Установлены требования к проведению испытаний, методам измерений и оформлению результатов. Документ является частью седьмого издания Правил устройства электроустановок и утвержден приказом Минэнерго России.",ПУЭ,Правила устройства электроустановок (ПУЭ). Глава 1.8. Нормы приемо-сдаточных испытаний.pdf,Правила устройства электроустановок. Глава 1.8. Нормы приемо-сдаточных испытаний,"['нормы приемо-сдаточных испытаний', 'электрооборудование', 'испытания повышенным напряжением', 'измерение сопротивления изоляции']","['приемо-сдаточные испытания', 'электрооборудование до 500 кВ', 'нормы испытаний', 'Минэнерго России', 'ПУЭ']",русский,838,-,5,71.9,7.3,,Правила устройства электроустановок (ПУЭ). Глава 1.8. Нормы приемо-сдаточных испытаний.pdf,Действующий,65
Выбор изоляции электроустановок переменного тока на номинальное напряжение 6-750 кВ,Электроустановки,,2025-08-29T03:19:55.744478+00:00,"Документ содержит правила устройства электроустановок, в частности главу 1.9, посвященную выбору и требованиям к изоляции электроустановок переменного тока с номинальным напряжением от 6 до 750 кВ. Установлены определения, общие требования и методика определения степени загрязнения и длины пути утечки изоляции.",ПУЭ,Правила устройства электроустановок (ПУЭ). Глава 1.9 Изоляция электроустановок.pdf,Правила устройства электроустановок. Глава 1.9 Изоляция электроустановок (Издание седьмое),"['электроустановки', 'изоляция', 'элементы изоляции', 'электрическая прочность', 'загрязнение атмосферы']","['изоляция электроустановок', 'выбор изоляции', 'путь утечки изоляции', 'эффективная длина пути утечки', 'степень загрязнения', 'карта степеней загрязнения', 'удельная эффективная длина пути утечки', 'стекло', 'фарфор', 'полимерные изоляторы']",Русский,572,-,5,85.0,0.0,,Правила устройства электроустановок (ПУЭ). Глава 1.9 Изоляция электроустановок.pdf,Действующий,16
"электропроводки силовых, осветительных и вторичных цепей напряжением до 1 кВ внутри зданий и сооружений, на наружных их стенах, территориях предприятий, учреждений и иных объектов",Электропроводки,,2025-08-29T03:19:59.996633+00:00,"Данный документ определяет область применения, основные определения, виды электропроводок, а также требования к монтажу и эксплуатации электропроводок напряжением до 1 кВ в различных условиях и местах прокладки.",ПУЭ,Правила устройства электроустановок (ПУЭ). Глава 2.1. Электропроводки.pdf,"Правила устройства электроустановок. Глава 2.1. Электропроводки. Область применения, определения","['область применения', 'основные определения', 'виды электропроводок', 'требования монтажа и эксплуатации']","['электропроводки', 'силовые цепи', 'осветительные цепи', 'вторичные цепи', 'напряжение до 1 кВ', 'открытая электропроводка', 'скрытая электропроводка', 'наружная электропроводка', 'вводы от ВЛ', 'струна', 'трос', 'полоса']",Русский,1350,-,5,50.0,0.0,,Правила устройства электроустановок (ПУЭ). Глава 2.1. Электропроводки.pdf,Действующий,13
